# Force coefficients
# liftDir  : (0.000e+00 0.000e+00 1.000e+00)
# dragDir  : (1.000e+00 0.000e+00 0.000e+00)
# pitchAxis: (0.000e+00 1.000e+00 0.000e+00)
# magUInf  : 1.500e+01
# lRef     : 1.590e+00
# Aref     : 7.259e-01
# CofR     : (7.200e-01 0.000e+00 0.000e+00)
# Time     	Cm         	Cd         	Cl         	Cl(f)      	Cl(r)      
1          	-1.213e+01	-1.552e+01	-1.081e+01	-1.754e+01	6.725e+00
2          	-6.087e+00	-6.640e+00	-5.763e+00	-8.969e+00	3.206e+00
3          	-4.083e+00	-3.987e+00	-4.035e+00	-6.101e+00	2.065e+00
4          	-2.921e+00	-2.217e+00	-3.059e+00	-4.450e+00	1.392e+00
5          	-2.607e+00	-1.629e+00	-2.804e+00	-4.009e+00	1.205e+00
6          	-2.492e+00	-1.448e+00	-2.720e+00	-3.852e+00	1.132e+00
7          	-2.522e+00	-1.501e+00	-2.773e+00	-3.908e+00	1.135e+00
8          	-2.584e+00	-1.568e+00	-2.840e+00	-4.004e+00	1.164e+00
9          	-2.667e+00	-1.644e+00	-2.934e+00	-4.134e+00	1.201e+00
10         	-2.677e+00	-1.656e+00	-2.949e+00	-4.152e+00	1.202e+00
11         	-2.675e+00	-1.657e+00	-2.959e+00	-4.154e+00	1.196e+00
12         	-2.677e+00	-1.638e+00	-2.973e+00	-4.163e+00	1.190e+00
13         	-2.683e+00	-1.600e+00	-2.992e+00	-4.179e+00	1.187e+00
14         	-2.688e+00	-1.552e+00	-3.013e+00	-4.195e+00	1.182e+00
15         	-2.693e+00	-1.504e+00	-3.032e+00	-4.209e+00	1.177e+00
16         	-2.693e+00	-1.457e+00	-3.047e+00	-4.217e+00	1.170e+00
17         	-2.688e+00	-1.417e+00	-3.055e+00	-4.216e+00	1.161e+00
18         	-2.686e+00	-1.380e+00	-3.062e+00	-4.217e+00	1.154e+00
19         	-2.686e+00	-1.348e+00	-3.070e+00	-4.221e+00	1.151e+00
20         	-2.698e+00	-1.322e+00	-3.085e+00	-4.241e+00	1.156e+00
21         	-2.705e+00	-1.295e+00	-3.100e+00	-4.255e+00	1.155e+00
22         	-2.721e+00	-1.279e+00	-3.117e+00	-4.279e+00	1.163e+00
23         	-2.740e+00	-1.266e+00	-3.137e+00	-4.309e+00	1.172e+00
24         	-2.758e+00	-1.257e+00	-3.153e+00	-4.334e+00	1.181e+00
25         	-2.774e+00	-1.248e+00	-3.165e+00	-4.356e+00	1.191e+00
26         	-2.788e+00	-1.241e+00	-3.175e+00	-4.375e+00	1.200e+00
27         	-2.796e+00	-1.231e+00	-3.176e+00	-4.384e+00	1.208e+00
28         	-2.804e+00	-1.224e+00	-3.181e+00	-4.394e+00	1.213e+00
29         	-2.804e+00	-1.212e+00	-3.176e+00	-4.392e+00	1.216e+00
30         	-2.808e+00	-1.205e+00	-3.178e+00	-4.397e+00	1.219e+00
31         	-2.803e+00	-1.195e+00	-3.171e+00	-4.389e+00	1.218e+00
32         	-2.805e+00	-1.189e+00	-3.174e+00	-4.392e+00	1.218e+00
33         	-2.798e+00	-1.178e+00	-3.171e+00	-4.384e+00	1.213e+00
34         	-2.799e+00	-1.174e+00	-3.174e+00	-4.386e+00	1.212e+00
35         	-2.791e+00	-1.164e+00	-3.171e+00	-4.376e+00	1.205e+00
36         	-2.794e+00	-1.161e+00	-3.173e+00	-4.381e+00	1.207e+00
37         	-2.786e+00	-1.153e+00	-3.165e+00	-4.369e+00	1.203e+00
38         	-2.787e+00	-1.152e+00	-3.162e+00	-4.368e+00	1.206e+00
39         	-2.773e+00	-1.147e+00	-3.142e+00	-4.344e+00	1.202e+00
40         	-2.771e+00	-1.147e+00	-3.135e+00	-4.338e+00	1.203e+00
41         	-2.757e+00	-1.146e+00	-3.113e+00	-4.314e+00	1.201e+00
42         	-2.759e+00	-1.148e+00	-3.110e+00	-4.314e+00	1.204e+00
43         	-2.758e+00	-1.149e+00	-3.103e+00	-4.309e+00	1.207e+00
44         	-2.758e+00	-1.153e+00	-3.096e+00	-4.306e+00	1.210e+00
45         	-2.759e+00	-1.158e+00	-3.091e+00	-4.305e+00	1.214e+00
46         	-2.761e+00	-1.165e+00	-3.086e+00	-4.304e+00	1.218e+00
47         	-2.764e+00	-1.174e+00	-3.084e+00	-4.306e+00	1.222e+00
48         	-2.771e+00	-1.183e+00	-3.086e+00	-4.314e+00	1.228e+00
49         	-2.781e+00	-1.192e+00	-3.093e+00	-4.327e+00	1.234e+00
50         	-2.794e+00	-1.201e+00	-3.103e+00	-4.345e+00	1.242e+00
51         	-2.808e+00	-1.208e+00	-3.116e+00	-4.366e+00	1.250e+00
52         	-2.824e+00	-1.215e+00	-3.130e+00	-4.389e+00	1.259e+00
53         	-2.841e+00	-1.220e+00	-3.144e+00	-4.414e+00	1.269e+00
54         	-2.861e+00	-1.224e+00	-3.160e+00	-4.441e+00	1.281e+00
55         	-2.880e+00	-1.229e+00	-3.176e+00	-4.469e+00	1.292e+00
56         	-2.899e+00	-1.235e+00	-3.192e+00	-4.495e+00	1.303e+00
57         	-2.915e+00	-1.241e+00	-3.207e+00	-4.518e+00	1.311e+00
58         	-2.928e+00	-1.247e+00	-3.221e+00	-4.539e+00	1.318e+00
59         	-2.943e+00	-1.255e+00	-3.236e+00	-4.561e+00	1.325e+00
60         	-2.952e+00	-1.259e+00	-3.245e+00	-4.574e+00	1.330e+00
61         	-2.967e+00	-1.264e+00	-3.259e+00	-4.596e+00	1.337e+00
62         	-2.979e+00	-1.268e+00	-3.271e+00	-4.614e+00	1.343e+00
63         	-3.002e+00	-1.272e+00	-3.295e+00	-4.650e+00	1.355e+00
64         	-3.018e+00	-1.274e+00	-3.311e+00	-4.674e+00	1.363e+00
65         	-3.043e+00	-1.276e+00	-3.336e+00	-4.711e+00	1.375e+00
66         	-3.073e+00	-1.280e+00	-3.367e+00	-4.757e+00	1.390e+00
67         	-3.104e+00	-1.285e+00	-3.397e+00	-4.803e+00	1.406e+00
68         	-3.133e+00	-1.290e+00	-3.424e+00	-4.845e+00	1.420e+00
69         	-3.155e+00	-1.295e+00	-3.445e+00	-4.877e+00	1.432e+00
70         	-3.171e+00	-1.300e+00	-3.459e+00	-4.900e+00	1.441e+00
71         	-3.181e+00	-1.305e+00	-3.467e+00	-4.914e+00	1.447e+00
72         	-3.186e+00	-1.309e+00	-3.471e+00	-4.921e+00	1.450e+00
73         	-3.188e+00	-1.313e+00	-3.473e+00	-4.924e+00	1.451e+00
74         	-3.189e+00	-1.316e+00	-3.474e+00	-4.926e+00	1.452e+00
75         	-3.191e+00	-1.319e+00	-3.478e+00	-4.930e+00	1.452e+00
76         	-3.196e+00	-1.321e+00	-3.485e+00	-4.938e+00	1.454e+00
77         	-3.202e+00	-1.323e+00	-3.495e+00	-4.949e+00	1.455e+00
78         	-3.208e+00	-1.326e+00	-3.507e+00	-4.962e+00	1.455e+00
79         	-3.213e+00	-1.328e+00	-3.519e+00	-4.973e+00	1.454e+00
80         	-3.216e+00	-1.331e+00	-3.530e+00	-4.981e+00	1.451e+00
