# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
1          	((-3.639e+01 -2.566e-01 -3.665e+02) (-1.506e-01 -6.502e-03 6.605e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-9.600e+01 -4.219e+02 9.463e+00) (1.226e-03 3.094e-02 5.709e-02) (0.000e+00 0.000e+00 0.000e+00))
2          	((-1.619e+01 -3.674e-01 -2.026e+02) (-1.516e-01 -7.270e-03 9.541e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-5.440e+01 -2.129e+02 5.007e+00) (1.940e-03 3.536e-02 5.812e-02) (0.000e+00 0.000e+00 0.000e+00))
3          	((-9.666e+00 -3.146e-01 -1.357e+02) (-1.509e-01 -7.762e-03 9.901e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-3.697e+01 -1.365e+02 3.389e+00) (2.061e-03 3.658e-02 5.839e-02) (0.000e+00 0.000e+00 0.000e+00))
4          	((-5.927e+00 -2.774e-01 -9.862e+01) (-1.516e-01 -8.115e-03 9.987e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-2.716e+01 -9.465e+01 2.440e+00) (2.054e-03 3.688e-02 5.894e-02) (0.000e+00 0.000e+00 0.000e+00))
5          	((-4.954e+00 -2.408e-01 -8.843e+01) (-1.527e-01 -8.493e-03 1.016e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.442e+01 -8.393e+01 2.138e+00) (2.048e-03 3.717e-02 5.960e-02) (0.000e+00 0.000e+00 0.000e+00))
6          	((-4.524e+00 -2.231e-01 -8.340e+01) (-1.538e-01 -8.869e-03 1.034e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.309e+01 -7.904e+01 1.990e+00) (2.037e-03 3.747e-02 6.025e-02) (0.000e+00 0.000e+00 0.000e+00))
7          	((-4.481e+00 -2.272e-01 -8.471e+01) (-1.549e-01 -9.326e-03 1.047e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.343e+01 -8.038e+01 1.961e+00) (1.994e-03 3.773e-02 6.096e-02) (0.000e+00 0.000e+00 0.000e+00))
8          	((-4.476e+00 -2.621e-01 -8.655e+01) (-1.559e-01 -9.810e-03 1.054e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.389e+01 -8.198e+01 1.987e+00) (1.922e-03 3.793e-02 6.163e-02) (0.000e+00 0.000e+00 0.000e+00))
9          	((-4.486e+00 -3.006e-01 -9.019e+01) (-1.568e-01 -1.037e-02 1.060e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.478e+01 -8.489e+01 2.020e+00) (1.841e-03 3.813e-02 6.234e-02) (0.000e+00 0.000e+00 0.000e+00))
10         	((-4.426e+00 -3.648e-01 -9.063e+01) (-1.576e-01 -1.098e-02 1.066e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.487e+01 -8.490e+01 2.066e+00) (1.754e-03 3.832e-02 6.305e-02) (0.000e+00 0.000e+00 0.000e+00))
11         	((-4.347e+00 -4.293e-01 -9.132e+01) (-1.583e-01 -1.160e-02 1.072e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.505e+01 -8.497e+01 2.101e+00) (1.662e-03 3.849e-02 6.376e-02) (0.000e+00 0.000e+00 0.000e+00))
12         	((-4.258e+00 -4.973e-01 -9.219e+01) (-1.589e-01 -1.221e-02 1.076e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.532e+01 -8.514e+01 2.136e+00) (1.564e-03 3.864e-02 6.443e-02) (0.000e+00 0.000e+00 0.000e+00))
13         	((-4.164e+00 -5.718e-01 -9.294e+01) (-1.595e-01 -1.282e-02 1.080e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.561e+01 -8.520e+01 2.179e+00) (1.463e-03 3.878e-02 6.508e-02) (0.000e+00 0.000e+00 0.000e+00))
14         	((-4.065e+00 -6.495e-01 -9.347e+01) (-1.599e-01 -1.340e-02 1.080e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.588e+01 -8.507e+01 2.226e+00) (1.354e-03 3.888e-02 6.568e-02) (0.000e+00 0.000e+00 0.000e+00))
15         	((-3.963e+00 -7.298e-01 -9.364e+01) (-1.602e-01 -1.394e-02 1.085e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.606e+01 -8.469e+01 2.279e+00) (1.273e-03 3.898e-02 6.621e-02) (0.000e+00 0.000e+00 0.000e+00))
16         	((-3.851e+00 -8.086e-01 -9.340e+01) (-1.605e-01 -1.445e-02 1.090e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.613e+01 -8.399e+01 2.333e+00) (1.199e-03 3.905e-02 6.668e-02) (0.000e+00 0.000e+00 0.000e+00))
17         	((-3.744e+00 -8.844e-01 -9.287e+01) (-1.607e-01 -1.495e-02 1.094e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.613e+01 -8.309e+01 2.390e+00) (1.130e-03 3.911e-02 6.711e-02) (0.000e+00 0.000e+00 0.000e+00))
18         	((-3.654e+00 -9.557e-01 -9.228e+01) (-1.608e-01 -1.540e-02 1.101e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.611e+01 -8.222e+01 2.449e+00) (1.074e-03 3.917e-02 6.745e-02) (0.000e+00 0.000e+00 0.000e+00))
19         	((-3.591e+00 -1.023e+00 -9.187e+01) (-1.609e-01 -1.583e-02 1.107e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.614e+01 -8.160e+01 2.513e+00) (1.019e-03 3.923e-02 6.776e-02) (0.000e+00 0.000e+00 0.000e+00))
20         	((-3.567e+00 -1.080e+00 -9.187e+01) (-1.610e-01 -1.626e-02 1.115e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.625e+01 -8.148e+01 2.575e+00) (9.651e-04 3.930e-02 6.805e-02) (0.000e+00 0.000e+00 0.000e+00))
21         	((-3.537e+00 -1.142e+00 -9.211e+01) (-1.610e-01 -1.669e-02 1.123e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.651e+01 -8.149e+01 2.642e+00) (9.148e-04 3.936e-02 6.833e-02) (0.000e+00 0.000e+00 0.000e+00))
22         	((-3.541e+00 -1.190e+00 -9.227e+01) (-1.611e-01 -1.714e-02 1.131e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.665e+01 -8.163e+01 2.701e+00) (8.642e-04 3.942e-02 6.863e-02) (0.000e+00 0.000e+00 0.000e+00))
23         	((-3.550e+00 -1.245e+00 -9.258e+01) (-1.611e-01 -1.759e-02 1.139e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.690e+01 -8.189e+01 2.772e+00) (8.139e-04 3.950e-02 6.894e-02) (0.000e+00 0.000e+00 0.000e+00))
24         	((-3.551e+00 -1.287e+00 -9.253e+01) (-1.612e-01 -1.804e-02 1.148e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.697e+01 -8.190e+01 2.824e+00) (7.635e-04 3.958e-02 6.926e-02) (0.000e+00 0.000e+00 0.000e+00))
25         	((-3.554e+00 -1.342e+00 -9.191e+01) (-1.613e-01 -1.851e-02 1.157e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.696e+01 -8.148e+01 2.889e+00) (7.135e-04 3.966e-02 6.960e-02) (0.000e+00 0.000e+00 0.000e+00))
26         	((-3.550e+00 -1.382e+00 -9.144e+01) (-1.614e-01 -1.895e-02 1.165e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.691e+01 -8.115e+01 2.936e+00) (6.605e-04 3.976e-02 6.994e-02) (0.000e+00 0.000e+00 0.000e+00))
