# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
1          	((-1.667e+02 -2.433e+01 -1.729e+01) (-1.022e-01 -1.328e-02 -6.711e-02) (0.000e+00 0.000e+00 0.000e+00)) ((4.410e+00 -5.768e+01 -6.172e+01) (-4.808e-03 -6.228e-02 2.864e-02) (0.000e+00 0.000e+00 0.000e+00))
2          	((-6.613e+01 8.253e-01 5.634e+00) (-8.858e-02 -6.036e-03 -3.838e-02) (0.000e+00 0.000e+00 0.000e+00)) ((1.666e+00 -1.985e+01 -2.176e+01) (-2.670e-03 -3.989e-02 2.742e-02) (0.000e+00 0.000e+00 0.000e+00))
3          	((-3.927e+01 9.964e+00 8.188e+00) (-8.755e-02 -2.146e-03 -2.883e-02) (0.000e+00 0.000e+00 0.000e+00)) ((6.351e-01 -9.552e+00 -1.002e+01) (-2.236e-03 -3.320e-02 2.671e-02) (0.000e+00 0.000e+00 0.000e+00))
4          	((-1.983e+01 1.719e+01 7.744e+00) (-8.692e-02 1.327e-04 -2.219e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.142e-01 -3.033e+00 -4.641e+00) (-1.967e-03 -2.868e-02 2.597e-02) (0.000e+00 0.000e+00 0.000e+00))
5          	((-1.254e+01 1.884e+01 5.918e+00) (-8.633e-02 1.815e-03 -1.650e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-4.802e-01 -1.212e+00 -3.939e+00) (-1.770e-03 -2.497e-02 2.534e-02) (0.000e+00 0.000e+00 0.000e+00))
6          	((-1.077e+01 2.046e+01 3.159e+00) (-8.691e-02 2.527e-03 -1.245e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-7.369e-01 -1.281e+00 -4.406e+00) (-1.387e-03 -2.228e-02 2.477e-02) (0.000e+00 0.000e+00 0.000e+00))
7          	((-1.205e+01 2.208e+01 3.150e-01) (-8.810e-02 3.038e-03 -9.035e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-9.387e-01 -2.134e+00 -5.568e+00) (-1.000e-03 -2.002e-02 2.429e-02) (0.000e+00 0.000e+00 0.000e+00))
8          	((-1.223e+01 2.202e+01 -4.950e-01) (-8.891e-02 3.355e-03 -6.395e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-9.276e-01 -2.269e+00 -5.973e+00) (-5.836e-04 -1.816e-02 2.379e-02) (0.000e+00 0.000e+00 0.000e+00))
9          	((-1.302e+01 2.256e+01 -1.434e+00) (-8.846e-02 3.541e-03 -4.591e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-9.755e-01 -2.536e+00 -6.521e+00) (-2.108e-04 -1.622e-02 2.320e-02) (0.000e+00 0.000e+00 0.000e+00))
10         	((-1.307e+01 2.260e+01 -1.720e+00) (-8.761e-02 3.699e-03 -3.102e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.002e+00 -2.557e+00 -6.656e+00) (1.084e-04 -1.447e-02 2.270e-02) (0.000e+00 0.000e+00 0.000e+00))
11         	((-1.293e+01 2.285e+01 -2.088e+00) (-8.741e-02 3.813e-03 -1.638e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.066e+00 -2.560e+00 -6.828e+00) (4.054e-04 -1.309e-02 2.244e-02) (0.000e+00 0.000e+00 0.000e+00))
12         	((-1.271e+01 2.315e+01 -2.496e+00) (-8.741e-02 4.042e-03 -4.347e-04) (0.000e+00 0.000e+00 0.000e+00)) ((-1.153e+00 -2.555e+00 -6.939e+00) (6.126e-04 -1.197e-02 2.223e-02) (0.000e+00 0.000e+00 0.000e+00))
13         	((-1.237e+01 2.331e+01 -2.823e+00) (-8.764e-02 4.227e-03 6.327e-04) (0.000e+00 0.000e+00 0.000e+00)) ((-1.240e+00 -2.543e+00 -6.969e+00) (7.691e-04 -1.108e-02 2.212e-02) (0.000e+00 0.000e+00 0.000e+00))
14         	((-1.197e+01 2.328e+01 -3.076e+00) (-8.789e-02 4.275e-03 1.543e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.322e+00 -2.543e+00 -6.918e+00) (9.150e-04 -1.033e-02 2.213e-02) (0.000e+00 0.000e+00 0.000e+00))
15         	((-1.171e+01 2.316e+01 -3.377e+00) (-8.809e-02 4.420e-03 2.204e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.411e+00 -2.623e+00 -6.812e+00) (1.001e-03 -9.772e-03 2.202e-02) (0.000e+00 0.000e+00 0.000e+00))
16         	((-1.151e+01 2.301e+01 -3.718e+00) (-8.821e-02 4.450e-03 2.713e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.506e+00 -2.734e+00 -6.699e+00) (1.084e-03 -9.316e-03 2.203e-02) (0.000e+00 0.000e+00 0.000e+00))
17         	((-1.151e+01 2.282e+01 -4.036e+00) (-8.846e-02 4.559e-03 3.073e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.593e+00 -2.896e+00 -6.608e+00) (1.118e-03 -9.026e-03 2.199e-02) (0.000e+00 0.000e+00 0.000e+00))
18         	((-1.165e+01 2.268e+01 -4.350e+00) (-8.864e-02 4.568e-03 3.322e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.671e+00 -3.081e+00 -6.579e+00) (1.168e-03 -8.818e-03 2.198e-02) (0.000e+00 0.000e+00 0.000e+00))
19         	((-1.185e+01 2.261e+01 -4.647e+00) (-8.866e-02 4.559e-03 3.556e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.738e+00 -3.254e+00 -6.616e+00) (1.195e-03 -8.666e-03 2.197e-02) (0.000e+00 0.000e+00 0.000e+00))
20         	((-1.199e+01 2.254e+01 -4.872e+00) (-8.853e-02 4.550e-03 3.873e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.786e+00 -3.375e+00 -6.658e+00) (1.244e-03 -8.420e-03 2.193e-02) (0.000e+00 0.000e+00 0.000e+00))
21         	((-1.222e+01 2.270e+01 -5.245e+00) (-8.826e-02 4.527e-03 4.225e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.866e+00 -3.527e+00 -6.818e+00) (1.311e-03 -8.160e-03 2.187e-02) (0.000e+00 0.000e+00 0.000e+00))
22         	((-1.230e+01 2.269e+01 -5.385e+00) (-8.806e-02 4.502e-03 4.555e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.912e+00 -3.601e+00 -6.860e+00) (1.403e-03 -7.916e-03 2.181e-02) (0.000e+00 0.000e+00 0.000e+00))
23         	((-1.226e+01 2.282e+01 -5.553e+00) (-8.775e-02 4.548e-03 4.830e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.977e+00 -3.631e+00 -6.968e+00) (1.503e-03 -7.672e-03 2.170e-02) (0.000e+00 0.000e+00 0.000e+00))
24         	((-1.216e+01 2.282e+01 -5.538e+00) (-8.745e-02 4.680e-03 5.053e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-2.010e+00 -3.616e+00 -6.990e+00) (1.594e-03 -7.472e-03 2.157e-02) (0.000e+00 0.000e+00 0.000e+00))
25         	((-1.189e+01 2.270e+01 -5.359e+00) (-8.708e-02 4.817e-03 5.188e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-2.028e+00 -3.530e+00 -7.040e+00) (1.692e-03 -7.293e-03 2.144e-02) (0.000e+00 0.000e+00 0.000e+00))
26         	((-1.176e+01 2.257e+01 -5.178e+00) (-8.662e-02 4.926e-03 5.319e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-2.028e+00 -3.479e+00 -7.071e+00) (1.789e-03 -7.105e-03 2.131e-02) (0.000e+00 0.000e+00 0.000e+00))
27         	((-1.155e+01 2.215e+01 -4.753e+00) (-8.612e-02 5.032e-03 5.452e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.992e+00 -3.389e+00 -7.169e+00) (1.893e-03 -6.900e-03 2.121e-02) (0.000e+00 0.000e+00 0.000e+00))
