# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
1          	((-1.510e+02 1.282e+01 -3.135e+02) (-2.486e-01 2.021e-03 1.327e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-1.132e+02 1.657e+02 7.062e+01) (6.197e-03 1.230e-02 1.045e-01) (0.000e+00 0.000e+00 0.000e+00))
2          	((-5.808e+01 2.290e+00 -1.554e+02) (-2.134e-01 1.694e-03 3.136e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-5.561e+01 8.845e+01 2.613e+01) (1.369e-02 6.354e-03 9.000e-02) (0.000e+00 0.000e+00 0.000e+00))
3          	((-3.141e+01 -8.394e-01 -1.051e+02) (-2.120e-01 1.722e-03 3.746e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.733e+01 6.256e+01 1.336e+01) (1.632e-02 4.457e-03 8.936e-02) (0.000e+00 0.000e+00 0.000e+00))
4          	((-1.647e+01 -2.335e+00 -7.700e+01) (-2.096e-01 1.724e-03 4.069e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.705e+01 4.809e+01 6.341e+00) (1.761e-02 3.976e-03 8.851e-02) (0.000e+00 0.000e+00 0.000e+00))
5          	((-1.317e+01 -2.432e+00 -7.053e+01) (-2.110e-01 1.881e-03 4.220e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.455e+01 4.471e+01 4.900e+00) (1.822e-02 3.524e-03 8.921e-02) (0.000e+00 0.000e+00 0.000e+00))
6          	((-1.335e+01 -2.384e+00 -7.064e+01) (-2.129e-01 2.040e-03 4.338e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.452e+01 4.481e+01 5.007e+00) (1.868e-02 3.089e-03 9.008e-02) (0.000e+00 0.000e+00 0.000e+00))
7          	((-1.537e+01 -2.318e+00 -7.513e+01) (-2.140e-01 2.210e-03 4.386e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.613e+01 4.734e+01 5.911e+00) (1.890e-02 2.943e-03 9.068e-02) (0.000e+00 0.000e+00 0.000e+00))
8          	((-1.677e+01 -2.294e+00 -7.832e+01) (-2.146e-01 2.402e-03 4.408e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.731e+01 4.917e+01 6.544e+00) (1.903e-02 2.872e-03 9.105e-02) (0.000e+00 0.000e+00 0.000e+00))
9          	((-1.826e+01 -2.318e+00 -8.231e+01) (-2.150e-01 2.615e-03 4.436e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.881e+01 5.152e+01 7.207e+00) (1.919e-02 2.770e-03 9.132e-02) (0.000e+00 0.000e+00 0.000e+00))
10         	((-1.875e+01 -2.347e+00 -8.400e+01) (-2.153e-01 2.789e-03 4.494e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.947e+01 5.258e+01 7.443e+00) (1.946e-02 2.558e-03 9.149e-02) (0.000e+00 0.000e+00 0.000e+00))
11         	((-1.919e+01 -2.305e+00 -8.581e+01) (-2.156e-01 2.962e-03 4.555e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.018e+01 5.373e+01 7.692e+00) (1.974e-02 2.322e-03 9.164e-02) (0.000e+00 0.000e+00 0.000e+00))
12         	((-1.950e+01 -2.221e+00 -8.745e+01) (-2.160e-01 3.153e-03 4.605e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.081e+01 5.479e+01 7.899e+00) (2.000e-02 2.084e-03 9.183e-02) (0.000e+00 0.000e+00 0.000e+00))
13         	((-1.960e+01 -2.091e+00 -8.887e+01) (-2.160e-01 3.312e-03 4.700e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.134e+01 5.576e+01 8.041e+00) (2.042e-02 1.779e-03 9.186e-02) (0.000e+00 0.000e+00 0.000e+00))
14         	((-1.957e+01 -1.922e+00 -9.014e+01) (-2.155e-01 3.453e-03 4.835e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.180e+01 5.668e+01 8.138e+00) (2.099e-02 1.418e-03 9.170e-02) (0.000e+00 0.000e+00 0.000e+00))
15         	((-1.947e+01 -1.732e+00 -9.133e+01) (-2.148e-01 3.586e-03 4.968e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.221e+01 5.755e+01 8.218e+00) (2.157e-02 1.101e-03 9.147e-02) (0.000e+00 0.000e+00 0.000e+00))
16         	((-1.937e+01 -1.540e+00 -9.247e+01) (-2.141e-01 3.666e-03 5.096e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.259e+01 5.840e+01 8.297e+00) (2.213e-02 8.236e-04 9.124e-02) (0.000e+00 0.000e+00 0.000e+00))
17         	((-1.927e+01 -1.350e+00 -9.348e+01) (-2.136e-01 3.721e-03 5.191e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.291e+01 5.917e+01 8.372e+00) (2.257e-02 6.415e-04 9.104e-02) (0.000e+00 0.000e+00 0.000e+00))
18         	((-1.919e+01 -1.184e+00 -9.439e+01) (-2.130e-01 3.768e-03 5.253e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.320e+01 5.987e+01 8.440e+00) (2.288e-02 5.746e-04 9.085e-02) (0.000e+00 0.000e+00 0.000e+00))
