# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
1          	((-3.524e+02 -5.740e+01 -3.705e+02) (-3.598e-01 -3.476e-03 6.355e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-6.756e+01 -9.014e+02 1.823e+02) (1.619e-02 -1.316e-01 1.114e-01) (0.000e+00 0.000e+00 0.000e+00))
2          	((-1.368e+02 -1.813e+01 -1.792e+02) (-2.794e-01 -2.418e-03 9.891e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.860e+01 -4.043e+02 6.228e+01) (2.364e-02 -3.776e-03 9.152e-02) (0.000e+00 0.000e+00 0.000e+00))
3          	((-7.379e+01 -1.294e+01 -1.186e+02) (-2.754e-01 -1.283e-03 1.111e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.525e+01 -2.524e+02 3.800e+01) (2.567e-02 2.050e-02 8.798e-02) (0.000e+00 0.000e+00 0.000e+00))
4          	((-3.810e+01 -1.291e+01 -8.470e+01) (-2.662e-01 -1.486e-03 1.174e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-1.642e+01 -1.667e+02 2.918e+01) (2.746e-02 4.066e-02 8.604e-02) (0.000e+00 0.000e+00 0.000e+00))
5          	((-3.070e+01 -1.674e+01 -7.636e+01) (-2.631e-01 -1.847e-03 1.185e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-1.247e+01 -1.469e+02 3.374e+01) (2.825e-02 4.637e-02 8.574e-02) (0.000e+00 0.000e+00 0.000e+00))
6          	((-3.167e+01 -2.159e+01 -7.656e+01) (-2.640e-01 -2.114e-03 1.204e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-1.028e+01 -1.479e+02 4.189e+01) (2.903e-02 4.944e-02 8.607e-02) (0.000e+00 0.000e+00 0.000e+00))
7          	((-3.694e+01 -2.670e+01 -8.228e+01) (-2.650e-01 -2.307e-03 1.198e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-9.514e+00 -1.616e+02 5.139e+01) (2.919e-02 4.773e-02 8.629e-02) (0.000e+00 0.000e+00 0.000e+00))
8          	((-4.083e+01 -2.946e+01 -8.721e+01) (-2.646e-01 -2.257e-03 1.182e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-9.732e+00 -1.729e+02 5.652e+01) (2.891e-02 4.502e-02 8.585e-02) (0.000e+00 0.000e+00 0.000e+00))
9          	((-4.496e+01 -3.195e+01 -9.344e+01) (-2.640e-01 -2.097e-03 1.164e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-1.046e+01 -1.864e+02 6.113e+01) (2.851e-02 4.210e-02 8.523e-02) (0.000e+00 0.000e+00 0.000e+00))
10         	((-4.649e+01 -3.246e+01 -9.676e+01) (-2.635e-01 -1.862e-03 1.153e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-1.127e+01 -1.930e+02 6.182e+01) (2.819e-02 4.006e-02 8.452e-02) (0.000e+00 0.000e+00 0.000e+00))
11         	((-4.779e+01 -3.251e+01 -1.002e+02) (-2.639e-01 -1.632e-03 1.143e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-1.227e+01 -1.996e+02 6.162e+01) (2.789e-02 3.744e-02 8.406e-02) (0.000e+00 0.000e+00 0.000e+00))
12         	((-4.843e+01 -3.215e+01 -1.032e+02) (-2.640e-01 -1.416e-03 1.133e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-1.322e+01 -2.049e+02 6.064e+01) (2.760e-02 3.522e-02 8.359e-02) (0.000e+00 0.000e+00 0.000e+00))
13         	((-4.838e+01 -3.140e+01 -1.055e+02) (-2.636e-01 -1.212e-03 1.133e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-1.415e+01 -2.086e+02 5.888e+01) (2.754e-02 3.522e-02 8.302e-02) (0.000e+00 0.000e+00 0.000e+00))
14         	((-4.779e+01 -3.032e+01 -1.074e+02) (-2.615e-01 -1.044e-03 1.149e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-1.508e+01 -2.110e+02 5.650e+01) (2.788e-02 3.981e-02 8.215e-02) (0.000e+00 0.000e+00 0.000e+00))
15         	((-4.682e+01 -2.901e+01 -1.088e+02) (-2.588e-01 -9.079e-04 1.167e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-1.598e+01 -2.122e+02 5.371e+01) (2.830e-02 4.551e-02 8.112e-02) (0.000e+00 0.000e+00 0.000e+00))
16         	((-4.570e+01 -2.745e+01 -1.097e+02) (-2.553e-01 -8.222e-04 1.179e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-1.690e+01 -2.127e+02 5.051e+01) (2.859e-02 5.081e-02 8.002e-02) (0.000e+00 0.000e+00 0.000e+00))
17         	((-4.459e+01 -2.579e+01 -1.103e+02) (-2.519e-01 -7.339e-04 1.184e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-1.779e+01 -2.126e+02 4.723e+01) (2.869e-02 5.469e-02 7.888e-02) (0.000e+00 0.000e+00 0.000e+00))
18         	((-4.361e+01 -2.419e+01 -1.109e+02) (-2.482e-01 -6.470e-04 1.183e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-1.860e+01 -2.126e+02 4.419e+01) (2.864e-02 5.766e-02 7.767e-02) (0.000e+00 0.000e+00 0.000e+00))
19         	((-4.283e+01 -2.273e+01 -1.115e+02) (-2.439e-01 -5.314e-04 1.180e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-1.932e+01 -2.128e+02 4.152e+01) (2.849e-02 6.059e-02 7.620e-02) (0.000e+00 0.000e+00 0.000e+00))
20         	((-4.241e+01 -2.192e+01 -1.123e+02) (-2.394e-01 -4.586e-04 1.174e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-1.977e+01 -2.137e+02 4.012e+01) (2.828e-02 6.350e-02 7.481e-02) (0.000e+00 0.000e+00 0.000e+00))
21         	((-4.208e+01 -2.092e+01 -1.131e+02) (-2.368e-01 -3.788e-04 1.165e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.033e+01 -2.146e+02 3.852e+01) (2.807e-02 6.400e-02 7.395e-02) (0.000e+00 0.000e+00 0.000e+00))
22         	((-4.209e+01 -2.098e+01 -1.140e+02) (-2.361e-01 -2.863e-04 1.155e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.044e+01 -2.160e+02 3.884e+01) (2.783e-02 6.293e-02 7.346e-02) (0.000e+00 0.000e+00 0.000e+00))
23         	((-4.237e+01 -2.113e+01 -1.152e+02) (-2.360e-01 -1.320e-04 1.147e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.061e+01 -2.181e+02 3.951e+01) (2.763e-02 6.152e-02 7.309e-02) (0.000e+00 0.000e+00 0.000e+00))
24         	((-4.263e+01 -2.104e+01 -1.161e+02) (-2.369e-01 1.527e-04 1.139e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.090e+01 -2.199e+02 3.972e+01) (2.740e-02 5.985e-02 7.279e-02) (0.000e+00 0.000e+00 0.000e+00))
25         	((-4.321e+01 -2.077e+01 -1.174e+02) (-2.384e-01 5.933e-04 1.136e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.138e+01 -2.224e+02 3.982e+01) (2.721e-02 5.854e-02 7.241e-02) (0.000e+00 0.000e+00 0.000e+00))
26         	((-4.353e+01 -2.034e+01 -1.183e+02) (-2.399e-01 9.609e-04 1.134e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.183e+01 -2.241e+02 3.951e+01) (2.705e-02 5.757e-02 7.219e-02) (0.000e+00 0.000e+00 0.000e+00))
27         	((-4.403e+01 -1.986e+01 -1.193e+02) (-2.414e-01 1.237e-03 1.136e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.241e+01 -2.262e+02 3.930e+01) (2.698e-02 5.721e-02 7.212e-02) (0.000e+00 0.000e+00 0.000e+00))
28         	((-4.424e+01 -1.951e+01 -1.201e+02) (-2.427e-01 1.516e-03 1.140e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.281e+01 -2.275e+02 3.914e+01) (2.694e-02 5.751e-02 7.198e-02) (0.000e+00 0.000e+00 0.000e+00))
29         	((-4.451e+01 -1.912e+01 -1.209e+02) (-2.433e-01 1.771e-03 1.146e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.331e+01 -2.290e+02 3.905e+01) (2.696e-02 5.872e-02 7.173e-02) (0.000e+00 0.000e+00 0.000e+00))
30         	((-4.459e+01 -1.887e+01 -1.214e+02) (-2.436e-01 2.092e-03 1.151e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.362e+01 -2.298e+02 3.899e+01) (2.691e-02 6.009e-02 7.133e-02) (0.000e+00 0.000e+00 0.000e+00))
31         	((-4.463e+01 -1.870e+01 -1.219e+02) (-2.436e-01 2.422e-03 1.154e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.395e+01 -2.306e+02 3.914e+01) (2.679e-02 6.152e-02 7.080e-02) (0.000e+00 0.000e+00 0.000e+00))
32         	((-4.462e+01 -1.842e+01 -1.221e+02) (-2.433e-01 2.837e-03 1.154e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.426e+01 -2.310e+02 3.888e+01) (2.650e-02 6.252e-02 7.006e-02) (0.000e+00 0.000e+00 0.000e+00))
33         	((-4.453e+01 -1.765e+01 -1.222e+02) (-2.429e-01 3.195e-03 1.154e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.488e+01 -2.310e+02 3.777e+01) (2.620e-02 6.352e-02 6.935e-02) (0.000e+00 0.000e+00 0.000e+00))
