# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
1          	((-6.183e+02 -9.466e+01 1.245e+02) (-7.221e-01 -6.160e-02 -1.450e+00) (0.000e+00 0.000e+00 0.000e+00)) ((7.581e+00 1.280e+02 2.694e+02) (-7.870e-01 -2.332e+00 3.856e-01) (0.000e+00 0.000e+00 0.000e+00))
2          	((-2.867e+02 -1.751e+00 3.235e+01) (-5.519e-01 -4.723e-02 -1.343e+00) (0.000e+00 0.000e+00 0.000e+00)) ((-2.833e+00 3.183e+01 9.498e+01) (-7.427e-01 -2.177e+00 2.931e-01) (0.000e+00 0.000e+00 0.000e+00))
3          	((-1.825e+02 1.668e+01 3.127e+00) (-5.126e-01 -3.728e-02 -1.316e+00) (0.000e+00 0.000e+00 0.000e+00)) ((-4.794e+00 3.094e+00 4.732e+01) (-7.346e-01 -2.139e+00 2.661e-01) (0.000e+00 0.000e+00 0.000e+00))
4          	((-1.059e+02 2.500e+01 -1.013e+01) (-4.732e-01 -3.244e-02 -1.311e+00) (0.000e+00 0.000e+00 0.000e+00)) ((-4.583e+00 -8.842e+00 1.663e+01) (-7.347e-01 -2.127e+00 2.430e-01) (0.000e+00 0.000e+00 0.000e+00))
5          	((-7.563e+01 2.436e+01 -1.117e+01) (-4.479e-01 -2.976e-02 -1.313e+00) (0.000e+00 0.000e+00 0.000e+00)) ((-3.359e+00 -8.699e+00 7.319e+00) (-7.370e-01 -2.127e+00 2.272e-01) (0.000e+00 0.000e+00 0.000e+00))
6          	((-6.212e+01 2.137e+01 -6.296e+00) (-4.414e-01 -2.734e-02 -1.315e+00) (0.000e+00 0.000e+00 0.000e+00)) ((-1.126e+00 -2.725e+00 4.793e+00) (-7.394e-01 -2.131e+00 2.184e-01) (0.000e+00 0.000e+00 0.000e+00))
7          	((-5.876e+01 1.822e+01 2.832e+00) (-4.426e-01 -2.415e-02 -1.317e+00) (0.000e+00 0.000e+00 0.000e+00)) ((1.799e+00 7.537e+00 5.640e+00) (-7.416e-01 -2.139e+00 2.121e-01) (0.000e+00 0.000e+00 0.000e+00))
8          	((-5.943e+01 1.689e+01 7.295e+00) (-4.444e-01 -2.104e-02 -1.317e+00) (0.000e+00 0.000e+00 0.000e+00)) ((3.473e+00 1.264e+01 6.805e+00) (-7.435e-01 -2.145e+00 2.069e-01) (0.000e+00 0.000e+00 0.000e+00))
9          	((-5.990e+01 1.589e+01 1.341e+01) (-4.436e-01 -1.821e-02 -1.318e+00) (0.000e+00 0.000e+00 0.000e+00)) ((5.349e+00 1.947e+01 7.782e+00) (-7.453e-01 -2.151e+00 2.019e-01) (0.000e+00 0.000e+00 0.000e+00))
10         	((-5.909e+01 1.572e+01 1.730e+01) (-4.402e-01 -1.584e-02 -1.320e+00) (0.000e+00 0.000e+00 0.000e+00)) ((6.395e+00 2.367e+01 7.833e+00) (-7.473e-01 -2.157e+00 1.967e-01) (0.000e+00 0.000e+00 0.000e+00))
11         	((-5.790e+01 1.568e+01 2.227e+01) (-4.340e-01 -1.482e-02 -1.322e+00) (0.000e+00 0.000e+00 0.000e+00)) ((7.364e+00 2.890e+01 7.310e+00) (-7.491e-01 -2.163e+00 1.924e-01) (0.000e+00 0.000e+00 0.000e+00))
